nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges;pipe_1_timeout;pipe_2_timeout;
200;-1;0.061;0.057;0.004;0.0;13;-1;0;-1;0;1;2;1.165;200;233;-1;0;
200;-1;0.083;0.078;0.005;0.0;13;-1;0;-1;0;1;2;1.05;200;210;-1;0;
200;-1;0.045000000000000005;0.042;0.003;0.0;13;-1;0;-1;0;1;2;1.125;200;225;-1;0;
200;-1;0.156;0.154;0.002;0.0;14;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.08800000000000001;0.084;0.004;0.0;14;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.074;0.071;0.003;0.0;14;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.08800000000000001;0.085;0.003;0.0;14;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.099;0.096;0.003;0.0;14;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.052000000000000005;0.048;0.003;0.001;14;-1;0;-1;4;5;2;1.105;200;220;-1;0;
200;-1;0.042;0.039;0.003;0.0;14;-1;0;-1;0;1;2;1.245;200;250;-1;0;
200;-1;0.060000000000000005;0.057;0.003;0.0;14;-1;0;-1;0;1;2;1.165;200;233;-1;0;
200;-1;0.08;0.078;0.002;0.0;14;-1;0;-1;0;1;2;1.05;200;210;-1;0;
200;-1;0.044000000000000004;0.042;0.002;0.0;14;-1;0;-1;0;1;2;1.125;200;225;-1;0;
200;-1;0.157;0.154;0.003;0.0;15;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.08700000000000001;0.084;0.002;0.001;15;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.073;0.071;0.002;0.0;15;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.09100000000000001;0.085;0.006;0.0;15;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.10300000000000001;0.096;0.007;0.0;15;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.053;0.048;0.005;0.0;15;-1;0;-1;0;1;2;1.105;200;220;-1;0;
200;-1;0.046;0.039;0.007;0.0;15;-1;0;-1;0;1;2;1.245;200;250;-1;0;
200;-1;0.062;0.057;0.005;0.0;15;-1;0;-1;0;1;2;1.165;200;233;-1;0;
200;-1;0.082;0.078;0.004;0.0;15;-1;0;-1;0;1;2;1.05;200;210;-1;0;
200;-1;0.048;0.042;0.006;0.0;15;-1;0;-1;0;1;2;1.125;200;225;-1;0;
200;-1;0.158;0.154;0.004;0.0;16;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.08900000000000001;0.084;0.005;0.0;16;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.079;0.071;0.007;0.001;16;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.09100000000000001;0.085;0.005;0.001;16;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.10400000000000001;0.096;0.008;0.0;16;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.055;0.048;0.006;0.001;16;-1;0;-1;0;1;2;1.105;200;220;-1;0;
200;-1;0.044;0.039;0.005;0.0;16;-1;0;-1;0;1;2;1.245;200;250;-1;0;
200;-1;0.064;0.057;0.007;0.0;16;-1;0;-1;0;1;2;1.165;200;233;-1;0;
200;-1;0.083;0.078;0.005;0.0;16;-1;0;-1;0;1;2;1.05;200;210;-1;0;
200;-1;0.049;0.042;0.007;0.0;16;-1;0;-1;0;1;2;1.125;200;225;-1;0;
200;-1;0.158;0.154;0.004;0.0;17;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.08900000000000001;0.084;0.005;0.0;17;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.077;0.071;0.006;0.0;17;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.09100000000000001;0.085;0.006;0.0;17;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.106;0.096;0.01;0.0;17;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.054;0.048;0.006;0.0;17;-1;0;-1;0;1;2;1.105;200;220;-1;0;
200;-1;0.049;0.039;0.008;0.002;17;-1;0;-1;0;1;2;1.245;200;250;-1;0;
200;-1;0.062;0.057;0.005;0.0;17;-1;0;-1;0;1;2;1.165;200;233;-1;0;
200;-1;0.084;0.078;0.005;0.001;17;-1;0;-1;0;1;2;1.05;200;210;-1;0;
200;-1;0.049;0.042;0.006;0.001;17;-1;0;-1;0;1;2;1.125;200;225;-1;0;
200;-1;0.158;0.154;0.004;0.0;18;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.092;0.084;0.008;0.0;18;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.076;0.071;0.005;0.0;18;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.094;0.085;0.009;0.0;18;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.10200000000000001;0.096;0.006;0.0;18;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.054;0.048;0.005;0.001;18;-1;0;-1;0;1;2;1.105;200;220;-1;0;
200;-1;0.045;0.039;0.005;0.001;18;-1;0;-1;0;1;2;1.245;200;250;-1;0;
200;-1;0.062;0.057;0.005;0.0;18;-1;0;-1;0;1;2;1.165;200;233;-1;0;
200;-1;0.082;0.078;0.004;0.0;18;-1;0;-1;0;1;2;1.05;200;210;-1;0;
200;-1;0.046;0.042;0.004;0.0;18;-1;0;-1;0;1;2;1.125;200;225;-1;0;
200;-1;0.162;0.154;0.008;0.0;19;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.08900000000000001;0.084;0.005;0.0;19;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.077;0.071;0.006;0.0;19;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.093;0.085;0.008;0.0;19;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.10400000000000001;0.096;0.008;0.0;19;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.055;0.048;0.007;0.0;19;-1;0;-1;0;1;2;1.105;200;220;-1;0;
200;-1;0.046;0.039;0.007;0.0;19;-1;0;-1;0;1;2;1.245;200;250;-1;0;
200;-1;0.064;0.057;0.007;0.0;19;-1;0;-1;0;1;2;1.165;200;233;-1;0;
200;-1;0.081;0.078;0.003;0.0;19;-1;0;-1;0;1;2;1.05;200;210;-1;0;
200;-1;0.048;0.042;0.006;0.0;19;-1;0;-1;0;1;2;1.125;200;225;-1;0;
200;-1;0.16;0.154;0.006;0.0;20;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.08900000000000001;0.084;0.004;0.001;20;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.075;0.071;0.004;0.0;20;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.08900000000000001;0.085;0.004;0.0;20;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.1;0.096;0.004;0.0;20;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.054;0.048;0.005;0.001;20;-1;0;-1;0;1;2;1.105;200;220;-1;0;
200;-1;0.043;0.039;0.004;0.0;20;-1;0;-1;0;1;2;1.245;200;250;-1;0;
200;-1;0.062;0.057;0.005;0.0;20;-1;0;-1;0;1;2;1.165;200;233;-1;0;
200;-1;0.081;0.078;0.003;0.0;20;-1;0;-1;0;1;2;1.05;200;210;-1;0;
200;-1;0.044000000000000004;0.042;0.002;0.0;20;-1;0;-1;0;1;2;1.125;200;225;-1;0;
200;-1;0.159;0.154;0.005;0.0;21;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.08900000000000001;0.084;0.004;0.001;21;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.074;0.071;0.003;0.0;21;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.08900000000000001;0.085;0.004;0.0;21;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.101;0.096;0.005;0.0;21;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.051000000000000004;0.048;0.003;0.0;21;-1;0;-1;0;1;2;1.105;200;220;-1;0;
200;-1;0.043;0.039;0.004;0.0;21;-1;0;-1;0;1;2;1.245;200;250;-1;0;
200;-1;0.064;0.057;0.007;0.0;21;-1;0;-1;0;1;2;1.165;200;233;-1;0;
200;-1;0.081;0.078;0.002;0.001;21;-1;0;-1;0;1;2;1.05;200;210;-1;0;
200;-1;0.04800000000000001;0.042;0.003;0.003;21;-1;0;-1;0;1;2;1.125;200;225;-1;0;
200;-1;0.16;0.154;0.006;0.0;22;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.08900000000000001;0.084;0.005;0.0;22;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.077;0.071;0.005;0.001;22;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.09000000000000001;0.085;0.004;0.001;22;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.101;0.096;0.005;0.0;22;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.052000000000000005;0.048;0.004;0.0;22;-1;0;-1;0;1;2;1.105;200;220;-1;0;
200;-1;0.043;0.039;0.004;0.0;22;-1;0;-1;0;1;2;1.245;200;250;-1;0;
200;-1;0.062;0.057;0.004;0.001;22;-1;0;-1;0;1;2;1.165;200;233;-1;0;
200;-1;0.083;0.078;0.005;0.0;22;-1;0;-1;0;1;2;1.05;200;210;-1;0;
200;-1;0.046;0.042;0.004;0.0;22;-1;0;-1;0;1;2;1.125;200;225;-1;0;
200;-1;0.159;0.154;0.005;0.0;23;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.08900000000000001;0.084;0.005;0.0;23;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.074;0.071;0.003;0.0;23;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.08800000000000001;0.085;0.003;0.0;23;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.10200000000000001;0.096;0.006;0.0;23;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.051000000000000004;0.048;0.003;0.0;23;-1;0;-1;0;1;2;1.105;200;220;-1;0;
200;-1;0.043;0.039;0.004;0.0;23;-1;0;-1;0;1;2;1.245;200;250;-1;0;
200;-1;0.064;0.057;0.007;0.0;23;-1;0;-1;0;1;2;1.165;200;233;-1;0;
200;-1;0.081;0.078;0.003;0.0;23;-1;0;-1;0;1;2;1.05;200;210;-1;0;
