nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges;pipe_1_timeout;pipe_2_timeout;
200;-1;0.069;0.054;0.015;0.0;7;-1;0;-1;11;15;2;2.955;200;571;-1;0;
200;-1;0.203;0.187;0.016;0.0;8;-1;0;-1;10;10;2;2.955;200;568;-1;0;
200;-1;0.187;0.156;0.031;0.0;8;-1;0;-1;8;7;2;2.95;200;587;-1;0;
200;-1;0.113;0.094;0.019;0.0;8;-1;0;-1;5;1;2;2.95;200;539;-1;0;
200;-1;0.108;0.093;0.015;0.0;8;-1;0;-1;16;22;2;2.955;200;567;-1;0;
200;-1;0.125;0.094;0.031;0.0;8;-1;0;-1;15;16;2;2.95;200;581;-1;0;
200;-1;0.079;0.063;0.016;0.0;8;-1;0;-1;13;14;2;2.95;200;581;-1;0;
200;-1;0.093;0.078;0.015;0.0;8;-1;0;-1;9;5;2;2.95;200;576;-1;0;
200;-1;0.094;0.078;0.016;0.0;8;-1;0;-1;8;8;2;2.955;200;569;-1;0;
200;-1;0.062;0.047;0.015;0.0;8;-1;0;-1;17;20;2;2.95;200;583;-1;0;
200;-1;0.08499999999999999;0.054;0.031;0.0;8;-1;0;-1;16;23;2;2.955;200;571;-1;0;
200;-1;0.203;0.187;0.016;0.0;9;-1;0;-1;15;19;2;2.955;200;568;-1;0;
200;-1;0.172;0.156;0.016;0.0;9;-1;0;-1;8;7;2;2.95;200;587;-1;0;
200;-1;0.11;0.094;0.016;0.0;9;-1;0;-1;9;5;2;2.95;200;539;-1;0;
200;-1;0.124;0.093;0.031;0.0;9;-1;0;-1;21;31;2;2.955;200;567;-1;0;
200;-1;0.125;0.094;0.031;0.0;9;-1;0;-1;12;13;2;2.95;200;581;-1;0;
200;-1;0.095;0.063;0.016;0.016;9;-1;0;-1;12;13;2;2.95;200;581;-1;0;
200;-1;0.093;0.078;0.015;0.0;9;-1;0;-1;14;16;2;2.95;200;576;-1;0;
200;-1;0.11;0.078;0.032;0.0;9;-1;0;-1;10;8;2;2.955;200;569;-1;0;
200;-1;0.078;0.047;0.015;0.016;9;-1;0;-1;16;19;2;2.95;200;583;-1;0;
200;-1;0.069;0.054;0.015;0.0;9;-1;0;-1;18;25;2;2.955;200;571;-1;0;
200;-1;0.203;0.187;0.016;0.0;10;-1;0;-1;15;19;2;2.955;200;568;-1;0;
200;-1;0.17099999999999999;0.156;0.015;0.0;10;-1;0;-1;14;15;2;2.95;200;587;-1;0;
200;-1;0.128;0.094;0.034;0.0;10;-1;0;-1;9;5;2;2.95;200;539;-1;0;
200;-1;0.124;0.093;0.031;0.0;10;-1;0;-1;20;30;2;2.955;200;567;-1;0;
200;-1;0.125;0.094;0.031;0.0;10;-1;0;-1;12;13;2;2.95;200;581;-1;0;
200;-1;0.094;0.063;0.031;0.0;10;-1;0;-1;12;13;2;2.95;200;581;-1;0;
200;-1;0.11;0.078;0.032;0.0;10;-1;0;-1;14;16;2;2.95;200;576;-1;0;
200;-1;0.093;0.078;0.015;0.0;10;-1;0;-1;14;15;2;2.955;200;569;-1;0;
200;-1;0.078;0.047;0.031;0.0;10;-1;0;-1;18;22;2;2.95;200;583;-1;0;
200;-1;0.07;0.054;0.016;0.0;10;-1;0;-1;20;27;2;2.955;200;571;-1;0;
200;-1;0.218;0.187;0.031;0.0;11;-1;0;-1;25;34;2;2.955;200;568;-1;0;
200;-1;0.172;0.156;0.016;0.0;11;-1;0;-1;18;21;2;2.95;200;587;-1;0;
200;-1;0.11;0.094;0.016;0.0;11;-1;0;-1;12;9;2;2.95;200;539;-1;0;
200;-1;0.129;0.093;0.02;0.016;11;-1;0;-1;20;30;2;2.955;200;567;-1;0;
200;-1;0.125;0.094;0.031;0.0;11;-1;0;-1;15;17;2;2.95;200;581;-1;0;
200;-1;0.095;0.063;0.032;0.0;11;-1;0;-1;27;34;2;2.95;200;581;-1;0;
200;-1;0.109;0.078;0.031;0.0;11;-1;0;-1;19;22;2;2.95;200;576;-1;0;
200;-1;0.109;0.078;0.031;0.0;11;-1;0;-1;17;22;2;2.955;200;569;-1;0;
200;-1;0.078;0.047;0.031;0.0;11;-1;0;-1;21;27;2;2.95;200;583;-1;0;
200;-1;0.07;0.054;0.016;0.0;11;-1;0;-1;20;27;2;2.955;200;571;-1;0;
200;-1;0.218;0.187;0.031;0.0;12;-1;0;-1;25;34;2;2.955;200;568;-1;0;
